COUNTY_ID,COUNTY,TOWN_ID,TOWN,A0A14_CNT,A0A14_M_CNT,A0A14_F_CNT,A15A64_CNT,A15A64_M_CNT,A15A64_F_CNT,A65UP_CNT,A65UP_M_CNT,A65UP_F_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,0-14歲人口數,0-14歲男性人口數,0-14歲女性人口數,15-64歲人口數,15-64歲男性人口數,15-64歲女性人口數,65歲以上人口數,65歲以上男性人口數,65歲以上女性人口數,資料時間
67000,臺南市,67000150,七股區,2473,1289,1184,16445,8853,7592,4447,1986,2461,"104Y12M"
67000,臺南市,67000080,下營區,2576,1350,1226,17479,9248,8231,4731,2170,2561,"104Y12M"
67000,臺南市,67000110,大內區,913,498,415,6889,3811,3078,2252,1084,1168,"104Y12M"
67000,臺南市,67000220,山上區,645,337,308,5348,2868,2480,1444,684,760,"104Y12M"
67000,臺南市,67000370,中西區,9821,5151,4670,55213,26981,28232,12464,5559,6905,"104Y12M"
67000,臺南市,67000270,仁德區,8760,4535,4225,56403,28898,27505,8724,4157,4567,"104Y12M"
67000,臺南市,67000090,六甲區,2593,1348,1245,16271,8585,7686,3722,1740,1982,"104Y12M"
67000,臺南市,67000170,北門區,1046,565,481,8613,4482,4131,1868,776,1092,"104Y12M"
67000,臺南市,67000340,北區,18158,9383,8775,97593,47877,49716,16900,7522,9378,"104Y12M"
67000,臺南市,67000260,左鎮區,335,184,151,3446,2019,1427,1290,638,652,"104Y12M"
67000,臺南市,67000310,永康區,33166,17373,15793,178012,87617,90395,19628,8955,10673,"104Y12M"
67000,臺南市,67000230,玉井區,1402,708,694,10063,5422,4641,2923,1342,1581,"104Y12M"
67000,臺南市,67000030,白河區,2827,1434,1393,19823,10786,9037,6621,3103,3518,"104Y12M"
67000,臺南市,67000360,安平區,9469,4870,4599,50366,23711,26655,5545,2484,3061,"104Y12M"
67000,臺南市,67000210,安定區,3558,1809,1749,22780,11959,10821,3993,1792,2201,"104Y12M"
67000,臺南市,67000350,安南區,27620,14311,13309,145422,73981,71441,16578,7560,9018,"104Y12M"
67000,臺南市,67000140,西港區,2606,1320,1286,18569,9622,8947,3746,1675,2071,"104Y12M"
67000,臺南市,67000120,佳里區,7287,3752,3535,44095,22071,22024,8173,3719,4454,"104Y12M"
67000,臺南市,67000100,官田區,2180,1124,1056,15994,8355,7639,3511,1617,1894,"104Y12M"
67000,臺南市,67000060,東山區,2074,1061,1013,14828,8250,6578,4701,2171,2530,"104Y12M"
67000,臺南市,67000320,東區,28200,14756,13444,139385,66265,73120,21280,9759,11521,"104Y12M"
67000,臺南市,67000250,南化區,805,423,382,6276,3466,2810,1812,921,891,"104Y12M"
67000,臺南市,67000330,南區,13454,7004,6450,95107,47664,47443,17177,7805,9372,"104Y12M"
67000,臺南市,67000050,後壁區,2205,1136,1069,16501,8893,7608,5623,2609,3014,"104Y12M"
67000,臺南市,67000040,柳營區,1949,1015,934,15596,8385,7211,4084,1895,2189,"104Y12M"
67000,臺南市,67000160,將軍區,1643,867,776,14758,7741,7017,3908,1735,2173,"104Y12M"
67000,臺南市,67000070,麻豆區,5395,2805,2590,32109,16638,15471,7483,3401,4082,"104Y12M"
67000,臺南市,67000190,善化區,7017,3564,3453,33371,17103,16268,6545,3028,3517,"104Y12M"
67000,臺南市,67000180,新化區,5091,2688,2403,32518,16743,15775,6219,2935,3284,"104Y12M"
67000,臺南市,67000200,新市區,5124,2659,2465,26811,13483,13328,3918,1876,2042,"104Y12M"
67000,臺南市,67000010,新營區,10507,5450,5057,56717,28278,28439,10941,4978,5963,"104Y12M"
67000,臺南市,67000240,楠西區,963,531,432,7019,3825,3194,2050,962,1088,"104Y12M"
67000,臺南市,67000130,學甲區,2782,1436,1346,19739,10431,9308,4131,1778,2353,"104Y12M"
67000,臺南市,67000300,龍崎區,292,151,141,2887,1639,1248,1017,481,536,"104Y12M"
67000,臺南市,67000280,歸仁區,9084,4834,4250,51686,26234,25452,7136,3435,3701,"104Y12M"
67000,臺南市,67000290,關廟區,3757,1944,1813,25477,13379,12098,5485,2616,2869,"104Y12M"
67000,臺南市,67000020,鹽水區,2843,1479,1364,18518,10024,8494,4724,2125,2599,"104Y12M"
