COUNTY_ID,COUNTY,TOWN_ID,TOWN,RLH_CNT,RLH_H_RAC,RLP_CNT,RLP_P_RAC,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,低收入戶,低收入戶占總戶數比例,低收入戶戶內人數,低收入戶戶內人數占總人數比例,資料時間
"67000","臺南市","67000010","新營區",297,10.36,619,7.92,"104Y12M"
"67000","臺南市","67000020","鹽水區",204,20.21,442,16.94,"104Y12M"
"67000","臺南市","67000030","白河區",207,18.95,433,14.79,"104Y12M"
"67000","臺南市","67000040","柳營區",103,13.14,192,8.88,"104Y12M"
"67000","臺南市","67000050","後壁區",193,21.67,435,17.88,"104Y12M"
"67000","臺南市","67000060","東山區",102,12.38,203,9.4,"104Y12M"
"67000","臺南市","67000070","麻豆區",187,12,343,7.62,"104Y12M"
"67000","臺南市","67000080","下營區",96,10.55,154,6.21,"104Y12M"
"67000","臺南市","67000090","六甲區",87,11.25,177,7.84,"104Y12M"
"67000","臺南市","67000100","官田區",139,17.7,365,16.83,"104Y12M"
"67000","臺南市","67000110","大內區",93,23.8,177,17.6,"104Y12M"
"67000","臺南市","67000120","佳里區",237,11.62,587,9.86,"104Y12M"
"67000","臺南市","67000130","學甲區",142,14.69,313,11.74,"104Y12M"
"67000","臺南市","67000140","西港區",178,21.93,439,17.62,"104Y12M"
"67000","臺南市","67000150","七股區",177,21.94,464,19.86,"104Y12M"
"67000","臺南市","67000160","將軍區",145,19.83,352,17.33,"104Y12M"
"67000","臺南市","67000170","北門區",117,27.09,319,27.67,"104Y12M"
"67000","臺南市","67000180","新化區",143,10,260,5.93,"104Y12M"
"67000","臺南市","67000190","善化區",175,10.41,352,7.5,"104Y12M"
"67000","臺南市","67000200","新市區",75,6.39,136,3.79,"104Y12M"
"67000","臺南市","67000210","安定區",155,15.69,329,10.85,"104Y12M"
"67000","臺南市","67000220","山上區",53,19.79,71,9.55,"104Y12M"
"67000","臺南市","67000230","玉井區",194,37.96,415,28.84,"104Y12M"
"67000","臺南市","67000240","楠西區",71,20.07,151,15.05,"104Y12M"
"67000","臺南市","67000250","南化區",52,18.19,124,13.94,"104Y12M"
"67000","臺南市","67000260","左鎮區",70,35.18,147,28.99,"104Y12M"
"67000","臺南市","67000270","仁德區",232,8.64,458,6.2,"104Y12M"
"67000","臺南市","67000280","歸仁區",316,14.2,685,10.09,"104Y12M"
"67000","臺南市","67000290","關廟區",194,17.68,430,12.39,"104Y12M"
"67000","臺南市","67000300","龍崎區",20,12.76,25,5.96,"104Y12M"
"67000","臺南市","67000310","永康區",632,7.73,1386,6.01,"104Y12M"
"67000","臺南市","67000320","東區",946,13.19,2179,11.54,"104Y12M"
"67000","臺南市","67000330","南區",979,21.78,2268,18.04,"104Y12M"
"67000","臺南市","67000340","北區",886,17.76,1937,14.6,"104Y12M"
"67000","臺南市","67000350","安南區",1218,19.95,3245,17.11,"104Y12M"
"67000","臺南市","67000360","安平區",378,15.22,900,13.77,"104Y12M"
"67000","臺南市","67000370","中西區",710,23.07,1331,17.17,"104Y12M"
