id,x,y,邏輯樹,AbrahamsonEtAl2014,BooreAtkinson2008,CampbellBozorgnia2008,ChiouYoungs2008,LinLee2008SInter
1,120.03597,23.07208,0.089952902,0.366934323,0.40033699,0.245883985,0.45123243,0.05965389
2,120.03604,23.08107,0.079230038,0.263235372,0.359257127,0.266252355,0.363255215,0.077007085
3,120.03611,23.09006,0.087095358,0.3114861,0.383145863,0.20623184,0.42931142,0.06745194
4,120.03618,23.09906,0.080616296,0.251237406,0.38107986,0.210952841,0.26925371,0.082663982
5,120.04567,23.06308,0.094033973,0.352810772,0.463612868,0.255110548,0.413551922,0.054435924
6,120.04574,23.07208,0.084902493,0.361201917,0.332463588,0.241511433,0.270303093,0.070880754
7,120.04581,23.08107,0.067862726,0.238923796,0.288694566,0.278823842,0.287287452,0.050129659
8,120.04588,23.09006,0.082960738,0.288504447,0.299812378,0.207000497,0.334835365,0.076046203
9,120.04595,23.09906,0.097988449,0.33186976,0.39945329,0.232452799,0.309408574,0.078601675
10,120.04603,23.10805,0.086496915,0.279471925,0.376573746,0.240527423,0.303689426,0.053499149
11,120.0461,23.11704,0.081276982,0.331336197,0.265620205,0.165525319,0.268983723,0.072005676
12,120.05538,23.05409,0.076027025,0.35315714,0.264148069,0.194411833,0.401933256,0.070064858
13,120.05545,23.06308,0.089591144,0.431809394,0.338058218,0.25421922,0.345578428,0.089004251
14,120.05552,23.07208,0.109553167,0.267885029,0.626820663,0.291216213,0.401140739,0.091034542
15,120.05559,23.08107,0.087439598,0.357350774,0.297688492,0.199491816,0.290726384,0.077772398
16,120.05566,23.09006,0.092030519,0.279722416,0.38325768,0.260154349,0.318077436,0.111420046
17,120.05573,23.09906,0.081716512,0.320118061,0.258373417,0.210931052,0.372094096,0.089868791
18,120.0558,23.10805,0.098402579,0.286327843,0.440187226,0.187773036,0.255664872,0.103139945
19,120.05587,23.11704,0.073400504,0.249853587,0.269657432,0.239282858,0.291357647,0.061415419
20,120.05595,23.12604,0.08607012,0.291231517,0.344004955,0.168947577,0.278894995,0.086544121
21,120.05602,23.13503,0.090191898,0.279695871,0.325526067,0.207469306,0.226678783,0.070979493
22,120.06508,23.0451,0.088454333,0.330256008,0.427129884,0.246430522,0.436674829,0.108437702
23,120.06515,23.05409,0.083067945,0.353823411,0.307634898,0.217839558,0.46570203,0.070512988
24,120.06522,23.06308,0.088436216,0.260261605,0.420625126,0.283946314,0.437622114,0.067136472
25,120.06529,23.07208,0.080713932,0.30389414,0.307837215,0.32335298,0.359968702,0.087095777
26,120.06537,23.08107,0.083708034,0.27935072,0.311605497,0.187441263,0.313676539,0.073805634
27,120.06544,23.09006,0.098986367,0.38246811,0.326223226,0.186380622,0.333733317,0.084032252
28,120.06551,23.09906,0.117375015,0.414485134,0.40942853,0.28225795,0.321324342,0.071744131
29,120.06558,23.10805,0.088285658,0.329649353,0.27394623,0.202718506,0.306441468,0.068536468
