TAG,COUNTY_ID,COUNTY,TOWN_ID,TOWN,FLD01,FLD02,FLD03,FLD04,FLD05,FLD06,FLD07,FLD08,FLD09,FLD10,FLD11,FLD12,FLD13,FLD14,FLD15,FLD16,INFO_TIME
標籤,縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,納稅單位,各類所得金額合計,各類所得金額營利所得,各類所得金額執行業務所得,各類所得金額薪資所得,各類所得金額利息所得,各類所得金額租賃及權利金,各類所得金額財產交易所得,各類所得金額機會中獎所得,各類所得金額股利所得,各類所得金額退職所得,各類所得金額其他所得,各類所得金額稿費所得,各類所得金額申報大於歸戶,薪資收入,稿費收入,資料時間
,67000,臺南市,67000320,東區,53642,52044249,272374,1083642,35790544,1637305,1048957,184550,73042,9405836,105238,690824,17988,1733949,47054998,127405,"110Y"
,67000,臺南市,67000330,南區,31666,20610203,167235,510684,14515524,617642,423460,51667,34113,3092425,14193,289836,5131,888293,21001718,30921,"110Y"
,67000,臺南市,67000340,北區,36120,31831872,154355,674301,22273088,1007529,660459,88490,36467,5201045,35639,432395,9908,1258200,29821221,70134,"110Y"
,67000,臺南市,67000350,安南區,48270,32238293,217087,661159,24065457,670572,572550,85225,54289,3536752,17937,437831,4333,1915090,34827604,27985,"110Y"
,67000,臺南市,67000360,安平區,19094,16695189,124844,590343,10718115,399766,369792,71324,23624,3392770,44558,213955,4557,741545,14699754,29273,"110Y"
,67000,臺南市,67000370,中西區,21603,22155070,165467,499369,12323115,676489,755580,109491,25030,6401232,36621,372033,5676,784972,16436375,41773,"110Y"
,67000,臺南市,67000010,新營區,21601,15521627,111203,323702,11415522,547701,259115,21564,20491,1997555,13456,205366,2553,603402,16006548,16420,"110Y"
,67000,臺南市,67000020,鹽水區,5563,3143950,18979,53868,2413245,101602,41585,3943,5168,316234,2363,50055,568,136338,3591361,2256,"110Y"
,67000,臺南市,67000030,白河區,4877,2726034,23591,66132,2006625,88827,57115,5021,3666,296806,4489,35893,15,137852,2953514,2686,"110Y"
,67000,臺南市,67000040,柳營區,4854,2942612,21673,47576,2240929,87848,37421,1928,4174,355283,9060,40693,141,95887,3310168,1579,"110Y"
,67000,臺南市,67000050,後壁區,4724,2737125,23052,43130,2135956,86307,38851,5883,4450,254241,1282,40162,0,103813,3156316,1482,"110Y"
,67000,臺南市,67000060,東山區,3387,1813228,18865,34916,1406585,49903,13643,2140,2354,178484,1603,22405,127,82206,2090606,1443,"110Y"
,67000,臺南市,67000070,麻豆區,11050,7334066,45540,132370,5499182,258399,100270,9574,10955,903675,2697,101643,355,269409,7867983,5562,"110Y"
,67000,臺南市,67000080,下營區,5066,2957764,21177,44999,2351504,96615,25996,3889,4031,268718,84,42154,192,98409,3456923,2374,"110Y"
,67000,臺南市,67000090,六甲區,5088,2978256,12069,42959,2383994,87873,25845,2523,3727,261827,891,46160,36,110355,3540481,1671,"110Y"
,67000,臺南市,67000100,官田區,5346,3128174,15335,52689,2492233,81352,33400,1512,5277,294638,989,47495,130,103119,3713458,2572,"110Y"
,67000,臺南市,67000110,大內區,1680,842935,6350,23974,639439,23978,11409,2700,1389,82115,62,9982,0,41535,998969,463,"110Y"
,67000,臺南市,67000120,佳里區,14836,9707222,51454,188953,7287316,283534,148516,8116,16898,1221184,4845,119399,1326,375683,10463681,8371,"110Y"
,67000,臺南市,67000140,西港區,5636,3362607,13163,56099,2502677,83574,39899,2518,5559,389058,2222,59432,47,208365,3739504,1843,"110Y"
,67000,臺南市,67000150,七股區,3622,1924569,9356,44882,1459068,38719,40411,2425,2883,187382,129,28227,0,111088,2224806,952,"110Y"
,67000,臺南市,67000160,將軍區,3316,1761347,6787,41807,1349784,48268,20125,2572,3162,191037,1651,22935,0,73221,2045797,529,"110Y"
,67000,臺南市,67000170,北門區,1692,944793,10614,19204,698270,21660,11745,460,1301,131947,1273,11899,107,36313,1044425,865,"110Y"
,67000,臺南市,67000130,學甲區,5866,3341662,13061,52510,2577010,94762,44545,5528,4548,389140,990,47733,212,111623,3817163,2698,"110Y"
,67000,臺南市,67000180,新化區,10427,6484216,45314,105307,4909984,204032,89485,26324,13886,662315,2262,101282,2105,321921,7177564,7785,"110Y"
,67000,臺南市,67000190,善化區,14489,14570475,68233,141524,11968546,271482,163555,21084,18473,1262642,5722,273736,2512,372964,15454438,8917,"110Y"
,67000,臺南市,67000200,新市區,10558,7933576,51610,117890,6282893,166199,127626,28857,15199,758759,2722,153336,251,228233,8781322,3891,"110Y"
,67000,臺南市,67000210,安定區,7067,4552665,17356,78582,3431193,103529,93054,4632,6401,501043,2268,78944,147,235518,5077272,1395,"110Y"
,67000,臺南市,67000220,山上區,1602,869379,7631,13280,650488,23357,17952,211,1311,99286,294,16803,109,38661,1007590,636,"110Y"
,67000,臺南市,67000230,玉井區,2364,1349787,8615,19463,1029414,50561,17676,1633,3182,132700,1824,19686,337,64696,1514036,1464,"110Y"
,67000,臺南市,67000240,楠西區,1343,698289,4018,10166,533079,16822,9218,417,817,69869,941,7170,0,45773,809834,362,"110Y"
,67000,臺南市,67000250,南化區,1327,692971,4066,14127,503080,17895,8308,437,563,76958,0,7292,0,60244,775788,247,"110Y"
,67000,臺南市,67000260,左鎮區,663,316783,3751,7139,227783,11815,5161,3656,276,28479,0,4025,145,24552,361056,640,"110Y"
,67000,臺南市,67000270,仁德區,20618,14265517,59054,266215,10216983,347758,253671,37990,23333,2151205,6876,213688,1699,687037,14888153,13136,"110Y"
,67000,臺南市,67000280,歸仁區,17587,11520682,59899,187160,8440711,285581,186299,41896,19470,1586349,5964,192835,2624,511890,12465252,10135,"110Y"
,67000,臺南市,67000290,關廟區,7909,4647985,29425,91789,3432224,108533,46247,6228,7277,673441,1214,79263,102,172243,5221880,2650,"110Y"
,67000,臺南市,67000300,龍崎區,613,337355,3128,12385,248592,10675,4573,851,528,40903,0,3205,1,12512,381521,214,"110Y"
,67000,臺南市,67000310,永康區,64234,48412172,357226,981541,36520191,1223762,875627,134792,73876,5660927,20462,710240,7349,1846177,50960305,49455,"110Y"
X,67000,臺南市,67000999,其他,,,,,,,,,,,,,,,,,"110Y"
