鄉鎮市區名稱,戶數,人口數,男性人口數,女性人口數,0-14歲人口數,15-64歲人口數,65歲以上人口數,老幼人數比例,獨居老人人數,低收入戶戶內人數,幼年人口比例,壯年人口比例,老年人口比例,
七股區,8069,23365,12128,11237,2473,16445,4447,29.61694843,189,464,10.58420715,70.38305157,19.03274128,100
下營區,9099,24786,12768,12018,2576,17479,4731,29.48035181,95,154,10.39296377,70.51964819,19.08738804,100
大內區,3907,10054,5393,4661,913,6889,2252,31.48000796,103,177,9.080962801,68.51999204,22.39904516,100
山上區,2678,7437,3889,3548,645,5348,1444,28.08928331,26,71,8.672851956,71.91071669,19.41643136,100
中西區,30771,77498,37691,39807,9821,55213,12464,28.75558079,139,1331,12.6725851,71.24441921,16.08299569,100
仁德區,26859,73887,37590,36297,8760,56403,8724,23.66316131,88,458,11.85594218,76.33683869,11.80721913,100
六甲區,7730,22586,11673,10913,2593,16271,3722,27.95979811,19,177,11.48056318,72.04020189,16.47923492,100
北門區,4319,11527,5823,5704,1046,8613,1868,25.27977791,131,319,9.074347185,74.72022209,16.20543073,100
北區,49896,132651,64782,67869,18158,97593,16900,26.42874912,193,1937,13.68855116,73.57125088,12.74019796,100
左鎮區,1990,5071,2841,2230,335,3446,1290,32.04496155,123,147,6.606192073,67.95503845,25.43876947,100
永康區,81796,230806,113945,116861,33166,178012,19628,22.87375545,137,1386,14.36964377,77.12624455,8.504111678,100
玉井區,5110,14388,7472,6916,1402,10063,2923,30.05977203,55,415,9.744231304,69.94022797,20.31554073,100
白河區,10924,29271,15323,13948,2827,19823,6621,32.27768098,266,433,9.6580233,67.72231902,22.61965768,100
安平區,24836,65380,31065,34315,9469,50366,5545,22.96420924,73,900,14.48302233,77.03579076,8.481186907,100
安定區,9876,30331,15560,14771,3558,22780,3993,24.89532162,74,329,11.73057268,75.10467838,13.16474894,100
安南區,61064,189620,95852,93768,27620,145422,16578,23.30872271,71,3245,14.56597405,76.69127729,8.742748655,100
西港區,8115,24921,12617,12304,2606,18569,3746,25.4885438,204,439,10.45704426,74.5114562,15.03149954,100
佳里區,20403,59555,29542,30013,7287,44095,8173,25.95919738,49,587,12.23574847,74.04080262,13.72344891,100
官田區,7854,21685,11096,10589,2180,15994,3511,26.24394743,96,365,10.05303205,73.75605257,16.19091538,100
東山區,8242,21603,11482,10121,2074,14828,4701,31.36138499,200,203,9.600518447,68.63861501,21.76086655,100
東區,71744,188865,90780,98085,28200,139385,21280,26.19860747,144,2179,14.93130014,73.80139253,11.26730734,100
南化區,2859,8893,4810,4083,805,6276,1812,29.42763972,87,124,9.052063421,70.57236028,20.3755763,100
南區,44941,125738,62473,63265,13454,95107,17177,24.36097282,166,2268,10.70002704,75.63902718,13.66094578,100
後壁區,8907,24329,12638,11691,2205,16501,5623,32.17559291,179,435,9.06325784,67.82440709,23.11233507,100
柳營區,7841,21629,11295,10334,1949,15596,4084,27.89310648,59,192,9.011049979,72.10689352,18.8820565,100
將軍區,7311,20309,10343,9966,1643,14758,3908,27.33270964,162,352,8.090009355,72.66729036,19.24270028,100
麻豆區,15584,44987,22844,22143,5395,32109,7483,28.62604752,94,343,11.99235335,71.37395248,16.63369418,100
善化區,16803,46933,23695,23238,7017,33371,6545,28.89651205,68,352,14.9511005,71.10348795,13.94541154,100
新化區,14294,43828,22366,21462,5091,32518,6219,25.80542119,30,260,11.61586201,74.19457881,14.18955919,100
新市區,11746,35853,18018,17835,5124,26811,3918,25.21964689,41,136,14.29169107,74.78035311,10.92795582,100
新營區,28669,78165,38706,39459,10507,56717,10941,27.43939103,59,619,13.44207766,72.56060897,13.99731338,100
楠西區,3538,10032,5318,4714,963,7019,2050,30.03389155,34,151,9.599282297,69.96610845,20.43460925,100
學甲區,9665,26652,13645,13007,2782,19739,4131,25.93801591,79,313,10.43824103,74.06198409,15.49977488,100
龍崎區,1567,4196,2271,1925,292,2887,1017,31.1963775,59,25,6.95900858,68.8036225,24.23736892,100
歸仁區,22252,67906,34503,33403,9084,51686,7136,23.88596,36,685,13.3773157,76.11404,10.5086443,100
關廟區,10974,34719,17939,16780,3757,25477,5485,26.61943028,82,430,10.8211642,73.38056972,15.79826608,100
鹽水區,10092,26085,13628,12457,2843,18518,4724,29.00900901,252,442,10.89898409,70.99099099,18.11002492,100
