序號,機構名稱,地址,經度,緯度,電話
1,衛生福利部臺南醫院,臺南市中西區中山路125號,120.209057,22.997354,06-2200055
2,郭綜合醫院,臺南市中西區民生路二段6.8.10.12.14.18.20.22.23.24.25.27.44號及40、42號1、2樓,120.198504,22.994862,06-2221111
3,永川醫院,臺南市中西區成功路169號,120.2063,22.998026,06-2245771
4,洪外科醫院,臺南市中西區民生路二段60號,120.197618,22.995134,06-2240011
5,大安婦幼醫院,臺南市中西區金華路三段167號1、2、3、4樓,120.192984,22.993065,06-2278899
6,永和醫院,臺南市中西區府前路一段304巷2號,120.199107,22.990469,06-2231191
7,仁村醫院,臺南市中西區西門路一段486號1、2、3、4樓、488號1樓及中西區府緯街63號1、2、3樓,120.197745,22.983631,06-2152607
8,仁愛醫療社團法人仁愛醫院,臺南市東區北門路一段10號及北門路1段30巷16號,120.211613,22.989768,06-2213111
9,台灣基督長老教會新樓醫療財團法人台南新樓醫院,臺南市東區東門路1段57號,120.212807,22.989158,06-2748316
10,台南市立醫院(委託秀傳醫療社團法人經營),臺南市東區崇德路670號,120.226743,22.968535,06-2609926
11,美德中醫醫院,臺南市北區公園路661號,120.213947,23.015987,06-2517956
12,陳澤彥婦產科醫院,臺南市北區中華北路二段101號1、2、3樓,120.198375,23.019783,06-3505000
13,國立成功大學醫學院附設醫院,臺南市北區勝利路138號,120.21923,23.00221,06-2353535
14,開元寺慈愛醫院,臺南市北區北園街89之1號,120.222908,23.010727,06-2384111
15,志誠醫院,臺南市北區公園路315之1號,120.210008,23.003603,06-2210423
16,臺南市立安南醫院-委託中國醫藥大學興建經營,臺南市安南區長和路二段66號,120.223192,23.064232,06-3553111
17,璟馨婦幼醫院,臺南市永康區東橋里東橋七路198號,120.237168,23.021203,06-3023366
18,高雄榮民總醫院臺南分院,臺南市永康區復興路427號,120.240316,22.997218,06-3125101
19,奇美醫療財團法人奇美醫院,臺南市永康區中華路901號,120.221897,23.020606,06-2812811
20,永達醫療社團法人永達醫院,臺南市永康區永大路二段1326號,120.261507,23.022214,06-2311111
21,晉生醫療社團法人晉生慢性醫院,臺南市永康區中山南路902巷5號2樓、7號及928號1樓、930號1樓,120.249103,23.021365,06-2330003
22,衛生福利部臺南醫院新化分院,臺南市新化區那拔里牧場72號,120.337503,23.064156,06-5911929
23,財團法人台灣省私立台南仁愛之家附設仁馨醫院,臺南市新化區中山路20號,120.319738,23.051097,06-5902336
24,衛生福利部胸腔病院,臺南市仁德區中山路864號,120.241802,22.975462,06-2705911
25,衛生福利部嘉南療養院,臺南市仁德區裕忠路539號,120.241951,22.976718,06-2795019
26,吉安醫療社團法人吉安醫院,臺南市關廟區花園里中正路435號1、2樓,120.344314,22.967047,06-6025115
27,台灣基督長老教會新樓醫療財團法人麻豆新樓醫院,臺南市麻豆區埤頭里苓子林20號,120.233033,23.179874,06-5702228
28,新生醫院,"臺南市佳里區新生路272號,297號1- 4樓",120.176453,23.160449,06-7223122
29,奇美醫療財團法人佳里奇美醫院,臺南市佳里區佳興里佳里興606號,120.18386,23.18203,06-7263333
30,信一骨科醫院,臺南市新營區民生路43之26號,120.307659,23.306221,06-6350035
31,營新醫院,臺南市新營區隋唐街228號,120.299764,23.30839,06-6592345
32,新興醫療社團法人新興醫院,臺南市新營區中興路10號,120.316858,23.303644,06-6330011
33,衛生福利部新營醫院,臺南市新營區信義街73號,120.314786,23.307821,06-6351131
34,奇美醫療財團法人柳營奇美醫院,臺南市柳營區太康里201號,120.324705,23.289269,06-6226999
35,宏科醫院,臺南市善化區三民路1-35號,120.286967,23.127049,06-5818868
